Support .NET namespace,Support .NET type name,AndroidX .NET namespace,AndroidX .NET type name,Support .NET assembly,AndroidX .NET assembly,Support Java package,Support Java class,AndroidX Java package,AndroidX Java class,Messages
Android.Support.Annotation,IIntegerRes,AndroidX.Annotations,IIntegerRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,IntegerRes,androidx.annotation,IntegerRes,
Android.Support.Annotation,IIntegerResInvoker,AndroidX.Annotations,IIntegerResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,IntegerRes,androidx.annotation,IntegerRes,
Android.Support.Annotation,Dimension,AndroidX.Annotations,Dimension,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Dimension,androidx.annotation,Dimension,
Android.Support.Annotation,DimensionConsts,AndroidX.Annotations,DimensionConsts,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Dimension,androidx.annotation,Dimension,
Android.Support.Annotation,IDimension,AndroidX.Annotations,IDimension,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Dimension,androidx.annotation,Dimension,
Android.Support.Annotation,IDimensionInvoker,AndroidX.Annotations,IDimensionInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Dimension,androidx.annotation,Dimension,
Android.Support.Annotation,IGuardedBy,AndroidX.Annotations,IGuardedBy,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,GuardedBy,androidx.annotation,GuardedBy,
Android.Support.Annotation,IGuardedByInvoker,AndroidX.Annotations,IGuardedByInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,GuardedBy,androidx.annotation,GuardedBy,
Android.Support.Annotation,IColorInt,AndroidX.Annotations,IColorInt,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,ColorInt,androidx.annotation,ColorInt,
Android.Support.Annotation,IColorIntInvoker,AndroidX.Annotations,IColorIntInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,ColorInt,androidx.annotation,ColorInt,
Android.Support.Annotation,IAnyThread,AndroidX.Annotations,IAnyThread,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,AnyThread,androidx.annotation,AnyThread,
Android.Support.Annotation,IAnyThreadInvoker,AndroidX.Annotations,IAnyThreadInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,AnyThread,androidx.annotation,AnyThread,
Android.Support.Annotation,RawResAttribute,AndroidX.Annotations,RawResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,AnyThreadAttribute,AndroidX.Annotations,AnyThreadAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,XmlResAttribute,AndroidX.Annotations,XmlResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IAttrRes,AndroidX.Annotations,IAttrRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,AttrRes,androidx.annotation,AttrRes,
Android.Support.Annotation,IAttrResInvoker,AndroidX.Annotations,IAttrResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,AttrRes,androidx.annotation,AttrRes,
Android.Support.Annotation,StyleableResAttribute,AndroidX.Annotations,StyleableResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,BoolResAttribute,AndroidX.Annotations,BoolResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,StringResAttribute,AndroidX.Annotations,StringResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,MainThreadAttribute,AndroidX.Annotations,MainThreadAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,LayoutResAttribute,AndroidX.Annotations,LayoutResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,FloatRangeAttribute,AndroidX.Annotations,FloatRangeAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IFloatRange,AndroidX.Annotations,IFloatRange,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,FloatRange,androidx.annotation,FloatRange,
Android.Support.Annotation,IFloatRangeInvoker,AndroidX.Annotations,IFloatRangeInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,FloatRange,androidx.annotation,FloatRange,
Android.Support.Annotation,IHalfFloat,AndroidX.Annotations,IHalfFloat,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,HalfFloat,androidx.annotation,HalfFloat,
Android.Support.Annotation,IHalfFloatInvoker,AndroidX.Annotations,IHalfFloatInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,HalfFloat,androidx.annotation,HalfFloat,
Android.Support.Annotation,CallSuperAttribute,AndroidX.Annotations,CallSuperAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,DrawableResAttribute,AndroidX.Annotations,DrawableResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,MenuResAttribute,AndroidX.Annotations,MenuResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IStringRes,AndroidX.Annotations,IStringRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,StringRes,androidx.annotation,StringRes,
Android.Support.Annotation,IStringResInvoker,AndroidX.Annotations,IStringResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,StringRes,androidx.annotation,StringRes,
Android.Support.Annotation,IArrayRes,AndroidX.Annotations,IArrayRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,ArrayRes,androidx.annotation,ArrayRes,
Android.Support.Annotation,IArrayResInvoker,AndroidX.Annotations,IArrayResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,ArrayRes,androidx.annotation,ArrayRes,
Android.Support.Annotation,IntDefAttribute,AndroidX.Annotations,IntDefAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,INonNull,AndroidX.Annotations,INonNull,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,NonNull,androidx.annotation,NonNull,
Android.Support.Annotation,INonNullInvoker,AndroidX.Annotations,INonNullInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,NonNull,androidx.annotation,NonNull,
Android.Support.Annotation,ILayoutRes,AndroidX.Annotations,ILayoutRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,LayoutRes,androidx.annotation,LayoutRes,
Android.Support.Annotation,ILayoutResInvoker,AndroidX.Annotations,ILayoutResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,LayoutRes,androidx.annotation,LayoutRes,
Android.Support.Annotation,IRequiresApi,AndroidX.Annotations,IRequiresApi,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RequiresApi,androidx.annotation,RequiresApi,
Android.Support.Annotation,IRequiresApiInvoker,AndroidX.Annotations,IRequiresApiInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RequiresApi,androidx.annotation,RequiresApi,
Android.Support.Annotation,HalfFloatAttribute,AndroidX.Annotations,HalfFloatAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,DimensionAttribute,AndroidX.Annotations,DimensionAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,ColorResAttribute,AndroidX.Annotations,ColorResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,INullable,AndroidX.Annotations,INullable,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Nullable,androidx.annotation,Nullable,
Android.Support.Annotation,INullableInvoker,AndroidX.Annotations,INullableInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Nullable,androidx.annotation,Nullable,
Android.Support.Annotation,IInterpolatorRes,AndroidX.Annotations,IInterpolatorRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,InterpolatorRes,androidx.annotation,InterpolatorRes,
Android.Support.Annotation,IInterpolatorResInvoker,AndroidX.Annotations,IInterpolatorResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,InterpolatorRes,androidx.annotation,InterpolatorRes,
Android.Support.Annotation,INavigationRes,AndroidX.Annotations,INavigationRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,NavigationRes,androidx.annotation,NavigationRes,
Android.Support.Annotation,INavigationResInvoker,AndroidX.Annotations,INavigationResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,NavigationRes,androidx.annotation,NavigationRes,
Android.Support.Annotation,StringDefAttribute,AndroidX.Annotations,StringDefAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IAnyRes,AndroidX.Annotations,IAnyRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,AnyRes,androidx.annotation,AnyRes,
Android.Support.Annotation,IAnyResInvoker,AndroidX.Annotations,IAnyResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,AnyRes,androidx.annotation,AnyRes,
Android.Support.Annotation,IIdRes,AndroidX.Annotations,IIdRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,IdRes,androidx.annotation,IdRes,
Android.Support.Annotation,IIdResInvoker,AndroidX.Annotations,IIdResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,IdRes,androidx.annotation,IdRes,
Android.Support.Annotation,AnimResAttribute,AndroidX.Annotations,AnimResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,InterpolatorResAttribute,AndroidX.Annotations,InterpolatorResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,NonNullAttribute,AndroidX.Annotations,NonNullAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,NonNullAttribute,ReactiveX.Annotations,NonNullAttribute,Xamarin.Android.Support.Annotations,Xamarin.Android.ReactiveX.RxJava,,,,,
Android.Support.Annotation,NonNullAttribute,ReactiveX.RxJava3.Annotations,NonNullAttribute,Xamarin.Android.Support.Annotations,Xamarin.Android.ReactiveX.RxJava3.RxJava,,,,,
Android.Support.Annotation,ColorLongAttribute,AndroidX.Annotations,ColorLongAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,RestrictToScope,AndroidX.Annotations,RestrictToScope,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RestrictTo.Scope,androidx.annotation,RestrictTo.Scope,
Android.Support.Annotation,IRestrictTo,AndroidX.Annotations,IRestrictTo,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RestrictTo,androidx.annotation,RestrictTo,
Android.Support.Annotation,IRestrictToInvoker,AndroidX.Annotations,IRestrictToInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RestrictTo,androidx.annotation,RestrictTo,
Android.Support.Annotation,IAnimRes,AndroidX.Annotations,IAnimRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,AnimRes,androidx.annotation,AnimRes,
Android.Support.Annotation,IAnimResInvoker,AndroidX.Annotations,IAnimResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,AnimRes,androidx.annotation,AnimRes,
Android.Support.Annotation,NullableAttribute,AndroidX.Annotations,NullableAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,NullableAttribute,JetBrains.Annotations,NullableAttribute,Xamarin.Android.Support.Annotations,Xamarin.Jetbrains.Annotations,,,,,
Android.Support.Annotation,NullableAttribute,ReactiveX.Annotations,NullableAttribute,Xamarin.Android.Support.Annotations,Xamarin.Android.ReactiveX.RxJava,,,,,
Android.Support.Annotation,NullableAttribute,System.Runtime.CompilerServices,NullableAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.DrawerLayout,,,,,
Android.Support.Annotation,NullableAttribute,ReactiveX.RxJava3.Annotations,NullableAttribute,Xamarin.Android.Support.Annotations,Xamarin.Android.ReactiveX.RxJava3.RxJava,,,,,
Android.Support.Annotation,IntRangeAttribute,AndroidX.Annotations,IntRangeAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IdResAttribute,AndroidX.Annotations,IdResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IFractionRes,AndroidX.Annotations,IFractionRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,FractionRes,androidx.annotation,FractionRes,
